Level,Skill,Subskill,Value,LevelKey,Discipline,Role
5,Drawings,Review of Soil investigation Report,NA,L5,CSA,Designer
5,Drawings,Steel Structure Drawings,NA,L5,CSA,Designer
5,Drawings,Concrete Drawings,NA,L5,CSA,Designer
5,Drawings,General Civil work,NA,L5,CSA,Designer
5,Drawings,Architectural Drawings,NA,L5,CSA,Designer
5,Drawings,Shop Drawings,NA,L5,CSA,Designer
5,Drawings,Bar Bending Schedule,NA,L5,CSA,Designer
5,Drawings,Steel / Concrete MTO,NA,L5,CSA,Designer
5,Design,STAAD Analysis / Design,NA,L5,CSA,Designer
5,Design,RISA 3D Analysis / Design,NA,L5,CSA,Designer
5,Design,RISA Foundation,NA,L5,CSA,Designer
5,Design,RAM Connection,NA,L5,CSA,Designer
5,Design,RISA Connection,NA,L5,CSA,Designer
5,Design,Found 3D/ Mat 3D,NA,L5,CSA,Designer
5,Modelling,PDS Modeling,NA,L5,CSA,Designer
5,Modelling,TEKLA Modeling,NA,L5,CSA,Designer
5,Modelling,E3D Modeling,NA,L5,CSA,Designer
5,Modelling,SP3D Modeling,NA,L5,CSA,Designer
5,Modelling,LFM Software With Microstation,NA,L5,CSA,Designer
5,Modelling,LFM with Tekla,NA,L5,CSA,Designer
5,Softwares,Bentley Inroads,NA,L5,CSA,Designer
5,Softwares,Bentley Openrail,NA,L5,CSA,Designer
5,Softwares,AutoCAD,NA,L5,CSA,Designer
5,Softwares,MicroStation,NA,L5,CSA,Designer
5,Softwares,Civil 3D,NA,L5,CSA,Designer
5,Softwares,HYDROLICS CALCS FOR SWD,NA,L5,CSA,Designer
5,Softwares,Revit Modeling and Drawing Creation,NA,L5,CSA,Designer
6,Drawings,Review of Soil investigation Report,NA,L6,CSA,Designer
6,Drawings,Steel Structure Drawings,1,L6,CSA,Designer
6,Drawings,Concrete Drawings,1,L6,CSA,Designer
6,Drawings,General Civil work,1,L6,CSA,Designer
6,Drawings,Architectural Drawings,1,L6,CSA,Designer
6,Drawings,Shop Drawings,1,L6,CSA,Designer
6,Drawings,Bar Bending Schedule,NA,L6,CSA,Designer
6,Drawings,Steel / Concrete MTO,NA,L6,CSA,Designer
6,Design,STAAD Analysis / Design,NA,L6,CSA,Designer
6,Design,RISA 3D Analysis / Design,NA,L6,CSA,Designer
6,Design,RISA Foundation,NA,L6,CSA,Designer
6,Design,RAM Connection,NA,L6,CSA,Designer
6,Design,RISA Connection,NA,L6,CSA,Designer
6,Design,Found 3D/ Mat 3D,NA,L6,CSA,Designer
6,Modelling,PDS Modeling,NA,L6,CSA,Designer
6,Modelling,TEKLA Modeling,1,L6,CSA,Designer
6,Modelling,E3D Modeling,NA,L6,CSA,Designer
6,Modelling,SP3D Modeling,1,L6,CSA,Designer
6,Modelling,LFM Software With Microstation,NA,L6,CSA,Designer
6,Modelling,LFM with Tekla,NA,L6,CSA,Designer
6,Softwares,Bentley Inroads,NA,L6,CSA,Designer
6,Softwares,Bentley Openrail,NA,L6,CSA,Designer
6,Softwares,AutoCAD,2,L6,CSA,Designer
6,Softwares,MicroStation,1,L6,CSA,Designer
6,Softwares,Civil 3D,1,L6,CSA,Designer
6,Softwares,HYDROLICS CALCS FOR SWD,NA,L6,CSA,Designer
6,Softwares,Revit Modeling and Drawing Creation,1,L6,CSA,Designer
7,Drawings,Review of Soil investigation Report,NA,L7,CSA,Designer
7,Drawings,Steel Structure Drawings,2,L7,CSA,Designer
7,Drawings,Concrete Drawings,2,L7,CSA,Designer
7,Drawings,General Civil work,2,L7,CSA,Designer
7,Drawings,Architectural Drawings,2,L7,CSA,Designer
7,Drawings,Shop Drawings,2,L7,CSA,Designer
7,Drawings,Bar Bending Schedule,NA,L7,CSA,Designer
7,Drawings,Steel / Concrete MTO,NA,L7,CSA,Designer
7,Design,STAAD Analysis / Design,NA,L7,CSA,Designer
7,Design,RISA 3D Analysis / Design,NA,L7,CSA,Designer
7,Design,RISA Foundation,NA,L7,CSA,Designer
7,Design,RAM Connection,NA,L7,CSA,Designer
7,Design,RISA Connection,NA,L7,CSA,Designer
7,Design,Found 3D/ Mat 3D,NA,L7,CSA,Designer
7,Modelling,PDS Modeling,1,L7,CSA,Designer
7,Modelling,TEKLA Modeling,2,L7,CSA,Designer
7,Modelling,E3D Modeling,NA,L7,CSA,Designer
7,Modelling,SP3D Modeling,1,L7,CSA,Designer
7,Modelling,LFM Software With Microstation,1,L7,CSA,Designer
7,Modelling,LFM with Tekla,1,L7,CSA,Designer
7,Softwares,Bentley Inroads,NA,L7,CSA,Designer
7,Softwares,Bentley Openrail,NA,L7,CSA,Designer
7,Softwares,AutoCAD,2,L7,CSA,Designer
7,Softwares,MicroStation,2,L7,CSA,Designer
7,Softwares,Civil 3D,2,L7,CSA,Designer
7,Softwares,HYDROLICS CALCS FOR SWD,NA,L7,CSA,Designer
7,Softwares,Revit Modeling and Drawing Creation,2,L7,CSA,Designer
8,Drawings,Review of Soil investigation Report,NA,L8,CSA,Designer
8,Drawings,Steel Structure Drawings,2,L8,CSA,Designer
8,Drawings,Concrete Drawings,2,L8,CSA,Designer
8,Drawings,General Civil work,2,L8,CSA,Designer
8,Drawings,Architectural Drawings,2,L8,CSA,Designer
8,Drawings,Shop Drawings,2,L8,CSA,Designer
8,Drawings,Bar Bending Schedule,NA,L8,CSA,Designer
8,Drawings,Steel / Concrete MTO,NA,L8,CSA,Designer
8,Design,STAAD Analysis / Design,NA,L8,CSA,Designer
8,Design,RISA 3D Analysis / Design,NA,L8,CSA,Designer
8,Design,RISA Foundation,NA,L8,CSA,Designer
8,Design,RAM Connection,NA,L8,CSA,Designer
8,Design,RISA Connection,NA,L8,CSA,Designer
8,Design,Found 3D/ Mat 3D,NA,L8,CSA,Designer
8,Modelling,PDS Modeling,1,L8,CSA,Designer
8,Modelling,TEKLA Modeling,2,L8,CSA,Designer
8,Modelling,E3D Modeling,NA,L8,CSA,Designer
