Level,Skill,Subskill,Value,LevelKey,Discipline,Role
7,Drawings,Review of Soil investigation Report,1,L7,CSA,Engineer
7,Drawings,Steel Structure Drawings,1,L7,CSA,Engineer
7,Drawings,Concrete Drawings,1,L7,CSA,Engineer
7,Drawings,General Civil work,1,L7,CSA,Engineer
7,Drawings,Architectural Drawings,NA,L7,CSA,Engineer
7,Drawings,Shop Drawings,NA,L7,CSA,Engineer
7,Drawings,Bar Bending Schedule,NA,L7,CSA,Engineer
7,Drawings,Steel / Concrete MTO,NA,L7,CSA,Engineer
7,Design,STAAD Analysis / Design,1,L7,CSA,Engineer
7,Design,RISA 3D Analysis / Design,1,L7,CSA,Engineer
7,Design,RISA Foundation,1,L7,CSA,Engineer
7,Design,RAM Connection,1,L7,CSA,Engineer
7,Design,RISA Connection,1,L7,CSA,Engineer
7,Design,Found 3D/ Mat 3D,1,L7,CSA,Engineer
7,Modelling,PDS Modeling,NA,L7,CSA,Engineer
7,Modelling,TEKLA Modeling,NA,L7,CSA,Engineer
7,Modelling,E3D Modeling,NA,L7,CSA,Engineer
7,Modelling,SP3D Modeling,NA,L7,CSA,Engineer
7,Modelling,LFM Software With Microstation,NA,L7,CSA,Engineer
7,Modelling,LFM with Tekla,NA,L7,CSA,Engineer
7,Softwares,Bentley Inroads,NA,L7,CSA,Engineer
7,Softwares,Bentley Openrail,NA,L7,CSA,Engineer
7,Softwares,AutoCAD,1,L7,CSA,Engineer
7,Softwares,MicroStation,NA,L7,CSA,Engineer
7,Softwares,Civil 3D,1,L7,CSA,Engineer
7,Softwares,HYDROLICS CALCS FOR SWD,1,L7,CSA,Engineer
7,Softwares,Revit Modeling and Drawing Creation,NA,L7,CSA,Engineer
8,Drawings,Review of Soil investigation Report,2,L8,CSA,Engineer
8,Drawings,Steel Structure Drawings,2,L8,CSA,Engineer
8,Drawings,Concrete Drawings,2,L8,CSA,Engineer
8,Drawings,General Civil work,2,L8,CSA,Engineer
8,Drawings,Architectural Drawings,1,L8,CSA,Engineer
8,Drawings,Shop Drawings,1,L8,CSA,Engineer
8,Drawings,Bar Bending Schedule,1,L8,CSA,Engineer
8,Drawings,Steel / Concrete MTO,1,L8,CSA,Engineer
