Level,Skill,Subskill,Value,LevelKey,Discipline,Role
7,Engineering,Design Calculations,1,L7,Electrical,Engineer
7,Engineering,Specifications and TBA,NA,L7,Electrical,Engineer
7,Engineering,Vendor Drawing Review,NA,L7,Electrical,Engineer
7,Engineering,Power System Studies using,1,L7,Electrical,Engineer
7,Engineering,Power System Studies using SKM,1,L7,Electrical,Engineer
7,Engineering,LV One Line Diagram,NA,L7,Electrical,Engineer
7,Engineering,MV One Line Diagram,NA,L7,Electrical,Engineer
7,Engineering,LV Schematics and Wiring Diagrams,NA,L7,Electrical,Engineer
7,Engineering,MV Schematics and Wiring Diagrams,NA,L7,Electrical,Engineer
7,Engineering,SPEL capabilities,1,L7,Electrical,Engineer
7,Engineering,LV Cable & Conduit Schedule,1,L7,Electrical,Engineer
7,Engineering,MV Cable & Conduit Schedule,NA,L7,Electrical,Engineer
7,Engineering,Area Classification,NA,L7,Electrical,Engineer
7,Engineering,Electrical Layouts,1,L7,Electrical,Engineer
7,Engineering,Panel Schedules,NA,L7,Electrical,Engineer
7,Engineering,PDC Equipment Layout,NA,L7,Electrical,Engineer
7,Engineering,Lighting software visual,1,L7,Electrical,Engineer
7,Engineering,AVEVA Engineering capabilities  (Y/N),NA,L7,Electrical,Engineer
7,Engineering,Sub-Station (Switchyard) Engineering,NA,L7,Electrical,Engineer
7,Engineering,Scope of work for Electrical Heat Tracing,NA,L7,Electrical,Engineer
7,Engineering,Scope of work for cathodic protection,NA,L7,Electrical,Engineer
7,Engineering,"PA, FA and communication system layout",NA,L7,Electrical,Engineer
7,Engineering,Site Supervision (Y/N),NA,L7,Electrical,Engineer
7,Software Capablities,SP3D Modeling (N/U/AS),NA,L7,Electrical,Engineer
7,Software Capablities,Smart Sketch (N/U/AS),NA,L7,Electrical,Engineer
7,Software Capablities,AVEVA E3D (Y/N),NA,L7,Electrical,Engineer
7,Software Capablities,REVIT (Y/N),NA,L7,Electrical,Engineer
7,Software Capablities,Microstation (Y/N),NA,L7,Electrical,Engineer
7,Software Capablities,Plant 3D (Y/N),NA,L7,Electrical,Engineer
7,Software Capablities,AutoCAD (Y/N),NA,L7,Electrical,Engineer
7,3D Modelling ,Grounding,NA,L7,Electrical,Engineer
7,3D Modelling ,Cable Tray,NA,L7,Electrical,Engineer
7,3D Modelling ,Lighting,NA,L7,Electrical,Engineer
7,3D Modelling ,Duct Bank,NA,L7,Electrical,Engineer
7,3D Modelling ,Electrical Equipment,NA,L7,Electrical,Engineer
7,3D Modelling ,PDC,NA,L7,Electrical,Engineer
7,Drafting 2D Layouts,One Line Diagrams,NA,L7,Electrical,Engineer
7,Drafting 2D Layouts,Wiring Diagrams & Schematics,NA,L7,Electrical,Engineer
7,Drafting 2D Layouts,Area Classification Drawings,NA,L7,Electrical,Engineer
7,Drafting 2D Layouts,Grounding Drawings,NA,L7,Electrical,Engineer
7,Drafting 2D Layouts,Module Drawings,NA,L7,Electrical,Engineer
7,Drafting 2D Layouts,Power Drawings,NA,L7,Electrical,Engineer
7,Drafting 2D Layouts,Cable Tray Drawings,NA,L7,Electrical,Engineer
7,Drafting 2D Layouts,Duct Bank Drawings,NA,L7,Electrical,Engineer
7,Drafting 2D Layouts,Lighting Drawings,NA,L7,Electrical,Engineer
8,Engineering,Design Calculations,2,L8,Electrical,Engineer
8,Engineering,Specifications and TBA,NA,L8,Electrical,Engineer
8,Engineering,Vendor Drawing Review,1,L8,Electrical,Engineer
8,Engineering,Power System Studies using,1,L8,Electrical,Engineer
8,Engineering,Power System Studies using SKM,1,L8,Electrical,Engineer
8,Engineering,LV One Line Diagram,1,L8,Electrical,Engineer
8,Engineering,MV One Line Diagram,NA,L8,Electrical,Engineer
8,Engineering,LV Schematics and Wiring Diagrams,1,L8,Electrical,Engineer
8,Engineering,MV Schematics and Wiring Diagrams,NA,L8,Electrical,Engineer
8,Engineering,SPEL capabilities,2,L8,Electrical,Engineer
8,Engineering,LV Cable & Conduit Schedule,2,L8,Electrical,Engineer
8,Engineering,MV Cable & Conduit Schedule,1,L8,Electrical,Engineer
8,Engineering,Area Classification,1,L8,Electrical,Engineer
8,Engineering,Electrical Layouts,2,L8,Electrical,Engineer
8,Engineering,Panel Schedules,1,L8,Electrical,Engineer
8,Engineering,PDC Equipment Layout,1,L8,Electrical,Engineer
8,Engineering,Lighting software visual,2,L8,Electrical,Engineer
8,Engineering,AVEVA Engineering capabilities  (Y/N),NA,L8,Electrical,Engineer
8,Engineering,Sub-Station (Switchyard) Engineering,NA,L8,Electrical,Engineer
8,Engineering,Scope of work for Electrical Heat Tracing,1,L8,Electrical,Engineer
8,Engineering,Scope of work for cathodic protection,NA,L8,Electrical,Engineer
8,Engineering,"PA, FA and communication system layout",NA,L8,Electrical,Engineer
8,Engineering,Site Supervision (Y/N),NA,L8,Electrical,Engineer
8,Software Capablities,SP3D Modeling (N/U/AS),NA,L8,Electrical,Engineer
8,Software Capablities,Smart Sketch (N/U/AS),NA,L8,Electrical,Engineer
8,Software Capablities,AVEVA E3D (Y/N),NA,L8,Electrical,Engineer
8,Software Capablities,REVIT (Y/N),NA,L8,Electrical,Engineer
8,Software Capablities,Microstation (Y/N),NA,L8,Electrical,Engineer
8,Software Capablities,Plant 3D (Y/N),NA,L8,Electrical,Engineer
8,Software Capablities,AutoCAD (Y/N),NA,L8,Electrical,Engineer
8,3D Modelling ,Grounding,NA,L8,Electrical,Engineer
8,3D Modelling ,Cable Tray,NA,L8,Electrical,Engineer
8,3D Modelling ,Lighting,NA,L8,Electrical,Engineer
8,3D Modelling ,Duct Bank,NA,L8,Electrical,Engineer
8,3D Modelling ,Electrical Equipment,NA,L8,Electrical,Engineer
8,3D Modelling ,PDC,NA,L8,Electrical,Engineer
8,Drafting 2D Layouts,One Line Diagrams,NA,L8,Electrical,Engineer
8,Drafting 2D Layouts,Wiring Diagrams & Schematics,NA,L8,Electrical,Engineer
8,Drafting 2D Layouts,Area Classification Drawings,NA,L8,Electrical,Engineer
8,Drafting 2D Layouts,Grounding Drawings,NA,L8,Electrical,Engineer
8,Drafting 2D Layouts,Module Drawings,NA,L8,Electrical,Engineer
8,Drafting 2D Layouts,Power Drawings,NA,L8,Electrical,Engineer
8,Drafting 2D Layouts,Cable Tray Drawings,NA,L8,Electrical,Engineer
8,Drafting 2D Layouts,Duct Bank Drawings,NA,L8,Electrical,Engineer
8,Drafting 2D Layouts,Lighting Drawings,NA,L8,Electrical,Engineer
9,Engineering,Design Calculations,2,L9,Electrical,Engineer
9,Engineering,Specifications and TBA,1,L9,Electrical,Engineer
9,Engineering,Vendor Drawing Review,2,L9,Electrical,Engineer
9,Engineering,Power System Studies using,2,L9,Electrical,Engineer
9,Engineering,Power System Studies using SKM,2,L9,Electrical,Engineer
9,Engineering,LV One Line Diagram,2,L9,Electrical,Engineer
9,Engineering,MV One Line Diagram,1,L9,Electrical,Engineer
9,Engineering,LV Schematics and Wiring Diagrams,2,L9,Electrical,Engineer
9,Engineering,MV Schematics and Wiring Diagrams,1,L9,Electrical,Engineer
9,Engineering,SPEL capabilities,2,L9,Electrical,Engineer
9,Engineering,LV Cable & Conduit Schedule,2,L9,Electrical,Engineer
9,Engineering,MV Cable & Conduit Schedule,2,L9,Electrical,Engineer
9,Engineering,Area Classification,1,L9,Electrical,Engineer
9,Engineering,Electrical Layouts,2,L9,Electrical,Engineer
9,Engineering,Panel Schedules,2,L9,Electrical,Engineer
9,Engineering,PDC Equipment Layout,1,L9,Electrical,Engineer
9,Engineering,Lighting software visual,3,L9,Electrical,Engineer
9,Engineering,AVEVA Engineering capabilities  (Y/N),NA,L9,Electrical,Engineer
9,Engineering,Sub-Station (Switchyard) Engineering,NA,L9,Electrical,Engineer
9,Engineering,Scope of work for Electrical Heat Tracing,2,L9,Electrical,Engineer
9,Engineering,Scope of work for cathodic protection,NA,L9,Electrical,Engineer
9,Engineering,"PA, FA and communication system layout",NA,L9,Electrical,Engineer
9,Engineering,Site Supervision (Y/N),1,L9,Electrical,Engineer
9,Software Capablities,SP3D Modeling (N/U/AS),NA,L9,Electrical,Engineer
9,Software Capablities,Smart Sketch (N/U/AS),NA,L9,Electrical,Engineer
9,Software Capablities,AVEVA E3D (Y/N),NA,L9,Electrical,Engineer
9,Software Capablities,REVIT (Y/N),NA,L9,Electrical,Engineer
