Level,Skill,Subskill,Value,LevelKey,Discipline,Role
5,Lists,Instrument Index,NA,L5,Instrumentation,Designer
5,Lists,IO List/ Loading,NA,L5,Instrumentation,Designer
5,Lists,Cable schedule,NA,L5,Instrumentation,Designer
5,Lists,Tubing Schedule,NA,L5,Instrumentation,Designer
5,Miscellaneous,Project Definition / I&C Design Basis,NA,L5,Instrumentation,Designer
5,Control & Automation,DCS Assembly Drawings,NA,L5,Instrumentation,Designer
5,Control & Automation,PLC Assembly Drawings,NA,L5,Instrumentation,Designer
5,Control & Automation,SIS/ BMS Assembly Drawings,NA,L5,Instrumentation,Designer
5,Control & Automation,Machinery Protection Assembly Drawings,NA,L5,Instrumentation,Designer
5,Control & Automation,Marshalling Panel Assembly Drawings,NA,L5,Instrumentation,Designer
5,Control & Automation,Junction Box Assembly Drawings,NA,L5,Instrumentation,Designer
5,Control & Automation,Control Panel Assembly Drawings,NA,L5,Instrumentation,Designer
5,Control & Automation,Annunciator Assembly Drawings,NA,L5,Instrumentation,Designer
5,Modelling,Installation Details,NA,L5,Instrumentation,Designer
5,Modelling,Instrument Location Key Plan,NA,L5,Instrumentation,Designer
5,Modelling,Instrument Location Plans,NA,L5,Instrumentation,Designer
5,Modelling,Instrument Cable Tray routing study and Backcheck,NA,L5,Instrumentation,Designer
5,Modelling,"Building Floor Plans (RIE, control room, etc.)",NA,L5,Instrumentation,Designer
5,Modelling,"3D Model Work (JBs, instruments, valves, etc.) ",NA,L5,Instrumentation,Designer
5,Modelling,Model Reviews,NA,L5,Instrumentation,Designer
5,Modelling,Control System Architecture Drawings,NA,L5,Instrumentation,Designer
5,Modelling,Fiber Optic Drawings (patching & routing),NA,L5,Instrumentation,Designer
5,Modelling,"Misc. Design (fieldbus, wireless, etc.)",NA,L5,Instrumentation,Designer
5,Modelling,Material Takeoffs,NA,L5,Instrumentation,Designer
5,Modelling,SP3D-Modeling,NA,L5,Instrumentation,Designer
5,Modelling,SP3D-Smartsketch,NA,L5,Instrumentation,Designer
5,Modelling,SP3D-Cable Autorouting,NA,L5,Instrumentation,Designer
5,Modelling,SP3D-Tray Modeling,NA,L5,Instrumentation,Designer
5,Modelling,SP3D-Conduit Modeling,NA,L5,Instrumentation,Designer
5,Modelling,SP3D-Admin,NA,L5,Instrumentation,Designer
5,Modelling,AutoCAD,NA,L5,Instrumentation,Designer
5,Modelling,Infomaker,NA,L5,Instrumentation,Designer
5,Modelling,Microsoft Visio,NA,L5,Instrumentation,Designer
5,Modelling,Micorstation Connect Edition,NA,L5,Instrumentation,Designer
5,Modelling,AutoCAD Plant 3D,NA,L5,Instrumentation,Designer
5,Modelling,Navisworks,NA,L5,Instrumentation,Designer
5,Modelling,DWG Trueview 2022,NA,L5,Instrumentation,Designer
5,Modelling,REVIT,NA,L5,Instrumentation,Designer
5,Modelling,AVEVA E3D,NA,L5,Instrumentation,Designer
5,Modelling,Iconstruct,NA,L5,Instrumentation,Designer
5,Wiring / Loops,Junction Box Wiring,NA,L5,Instrumentation,Designer
5,Wiring / Loops,Panel Wiring,NA,L5,Instrumentation,Designer
5,Wiring / Loops,Marshalling Wiring,NA,L5,Instrumentation,Designer
5,Wiring / Loops,I/O Module Wiring,NA,L5,Instrumentation,Designer
5,Wiring / Loops,Loop Drawings,NA,L5,Instrumentation,Designer
5,Wiring / Loops,Loop Folders,NA,L5,Instrumentation,Designer
5,General,P&ID Markup and Backchecking,NA,L5,Instrumentation,Designer
5,General,Motor Schematics Markup and Backchecking,NA,L5,Instrumentation,Designer
5,General,Mechanical Skid Drawings Markup and Backchecking,NA,L5,Instrumentation,Designer
5,General,Isometric Markup and Backchecking,NA,L5,Instrumentation,Designer
5,General,Wetting Voltage Distribution Wiring,NA,L5,Instrumentation,Designer
5,General,Budgeting / Schedule Tracking,NA,L5,Instrumentation,Designer
5,General,Labor Estimating,NA,L5,Instrumentation,Designer
5,General,PROPOSAL & COST ESTIMATION,NA,L5,Instrumentation,Designer
5,General,AS-BUILT & MAINTENANCE,NA,L5,Instrumentation,Designer
5,General,Electrical Document Reviews,NA,L5,Instrumentation,Designer
5,General,Mechanical Document Reviews,NA,L5,Instrumentation,Designer
5,General,Mechanical Subcontract Scope of Work,NA,L5,Instrumentation,Designer
5,General,E/I/C Subcontract Scope of Work,NA,L5,Instrumentation,Designer
5,General,Quality Check - Q4,NA,L5,Instrumentation,Designer
5,General,SPI-EDE_Query builder,NA,L5,Instrumentation,Designer
5,General,INSPECTION - FIELD INSTRUMENTS,NA,L5,Instrumentation,Designer
6,Lists,Instrument Index,1,L6,Instrumentation,Designer
6,Lists,IO List/ Loading,1,L6,Instrumentation,Designer
6,Lists,Cable schedule,1,L6,Instrumentation,Designer
6,Lists,Tubing Schedule,1,L6,Instrumentation,Designer
6,Miscellaneous,Project Definition / I&C Design Basis,1,L6,Instrumentation,Designer
6,Control & Automation,DCS Assembly Drawings,1,L6,Instrumentation,Designer
6,Control & Automation,PLC Assembly Drawings,1,L6,Instrumentation,Designer
6,Control & Automation,SIS/ BMS Assembly Drawings,1,L6,Instrumentation,Designer
6,Control & Automation,Machinery Protection Assembly Drawings,NA,L6,Instrumentation,Designer
6,Control & Automation,Marshalling Panel Assembly Drawings,1,L6,Instrumentation,Designer
6,Control & Automation,Junction Box Assembly Drawings,1,L6,Instrumentation,Designer
6,Control & Automation,Control Panel Assembly Drawings,1,L6,Instrumentation,Designer
6,Control & Automation,Annunciator Assembly Drawings,1,L6,Instrumentation,Designer
6,Modelling,Installation Details,1,L6,Instrumentation,Designer
6,Modelling,Instrument Location Key Plan,1,L6,Instrumentation,Designer
6,Modelling,Instrument Location Plans,1,L6,Instrumentation,Designer
6,Modelling,Instrument Cable Tray routing study and Backcheck,1,L6,Instrumentation,Designer
6,Modelling,"Building Floor Plans (RIE, control room, etc.)",1,L6,Instrumentation,Designer
6,Modelling,"3D Model Work (JBs, instruments, valves, etc.) ",2,L6,Instrumentation,Designer
6,Modelling,Model Reviews,1,L6,Instrumentation,Designer
6,Modelling,Control System Architecture Drawings,1,L6,Instrumentation,Designer
6,Modelling,Fiber Optic Drawings (patching & routing),1,L6,Instrumentation,Designer
6,Modelling,"Misc. Design (fieldbus, wireless, etc.)",NA,L6,Instrumentation,Designer
6,Modelling,Material Takeoffs,NA,L6,Instrumentation,Designer
6,Modelling,SP3D-Modeling,2,L6,Instrumentation,Designer
6,Modelling,SP3D-Smartsketch,2,L6,Instrumentation,Designer
6,Modelling,SP3D-Cable Autorouting,1,L6,Instrumentation,Designer
6,Modelling,SP3D-Tray Modeling,1,L6,Instrumentation,Designer
6,Modelling,SP3D-Conduit Modeling,1,L6,Instrumentation,Designer
6,Modelling,SP3D-Admin,NA,L6,Instrumentation,Designer
6,Modelling,AutoCAD,1,L6,Instrumentation,Designer
6,Modelling,Infomaker,2,L6,Instrumentation,Designer
6,Modelling,Microsoft Visio,2,L6,Instrumentation,Designer
6,Modelling,Micorstation Connect Edition,2,L6,Instrumentation,Designer
6,Modelling,AutoCAD Plant 3D,2,L6,Instrumentation,Designer
6,Modelling,Navisworks,2,L6,Instrumentation,Designer
6,Modelling,DWG Trueview 2022,2,L6,Instrumentation,Designer
6,Modelling,REVIT,2,L6,Instrumentation,Designer
6,Modelling,AVEVA E3D,2,L6,Instrumentation,Designer
6,Modelling,Iconstruct,2,L6,Instrumentation,Designer
6,Wiring / Loops,Junction Box Wiring,1,L6,Instrumentation,Designer
6,Wiring / Loops,Panel Wiring,1,L6,Instrumentation,Designer
6,Wiring / Loops,Marshalling Wiring,1,L6,Instrumentation,Designer
6,Wiring / Loops,I/O Module Wiring,1,L6,Instrumentation,Designer
6,Wiring / Loops,Loop Drawings,1,L6,Instrumentation,Designer
6,Wiring / Loops,Loop Folders,1,L6,Instrumentation,Designer
6,General,P&ID Markup and Backchecking,1,L6,Instrumentation,Designer
6,General,Motor Schematics Markup and Backchecking,NA,L6,Instrumentation,Designer
6,General,Mechanical Skid Drawings Markup and Backchecking,NA,L6,Instrumentation,Designer
6,General,Isometric Markup and Backchecking,NA,L6,Instrumentation,Designer
6,General,Wetting Voltage Distribution Wiring,NA,L6,Instrumentation,Designer
6,General,Budgeting / Schedule Tracking,NA,L6,Instrumentation,Designer
6,General,Labor Estimating,NA,L6,Instrumentation,Designer
6,General,PROPOSAL & COST ESTIMATION,NA,L6,Instrumentation,Designer
6,General,AS-BUILT & MAINTENANCE,NA,L6,Instrumentation,Designer
6,General,Electrical Document Reviews,NA,L6,Instrumentation,Designer
6,General,Mechanical Document Reviews,NA,L6,Instrumentation,Designer
6,General,Mechanical Subcontract Scope of Work,NA,L6,Instrumentation,Designer
6,General,E/I/C Subcontract Scope of Work,NA,L6,Instrumentation,Designer
6,General,Quality Check - Q4,NA,L6,Instrumentation,Designer
6,General,SPI-EDE_Query builder,NA,L6,Instrumentation,Designer
6,General,INSPECTION - FIELD INSTRUMENTS,NA,L6,Instrumentation,Designer
7,Lists,Instrument Index,1,L7,Instrumentation,Designer
7,Lists,IO List/ Loading,1,L7,Instrumentation,Designer
7,Lists,Cable schedule,1,L7,Instrumentation,Designer
7,Lists,Tubing Schedule,1,L7,Instrumentation,Designer
7,Miscellaneous,Project Definition / I&C Design Basis,1,L7,Instrumentation,Designer
7,Control & Automation,DCS Assembly Drawings,1,L7,Instrumentation,Designer
7,Control & Automation,PLC Assembly Drawings,1,L7,Instrumentation,Designer
7,Control & Automation,SIS/ BMS Assembly Drawings,1,L7,Instrumentation,Designer
7,Control & Automation,Machinery Protection Assembly Drawings,NA,L7,Instrumentation,Designer
7,Control & Automation,Marshalling Panel Assembly Drawings,1,L7,Instrumentation,Designer
7,Control & Automation,Junction Box Assembly Drawings,1,L7,Instrumentation,Designer
7,Control & Automation,Control Panel Assembly Drawings,1,L7,Instrumentation,Designer
7,Control & Automation,Annunciator Assembly Drawings,1,L7,Instrumentation,Designer
7,Modelling,Installation Details,1,L7,Instrumentation,Designer
7,Modelling,Instrument Location Key Plan,2,L7,Instrumentation,Designer
7,Modelling,Instrument Location Plans,2,L7,Instrumentation,Designer
7,Modelling,Instrument Cable Tray routing study and Backcheck,2,L7,Instrumentation,Designer
7,Modelling,"Building Floor Plans (RIE, control room, etc.)",2,L7,Instrumentation,Designer
7,Modelling,"3D Model Work (JBs, instruments, valves, etc.) ",2,L7,Instrumentation,Designer
7,Modelling,Model Reviews,2,L7,Instrumentation,Designer
7,Modelling,Control System Architecture Drawings,1,L7,Instrumentation,Designer
7,Modelling,Fiber Optic Drawings (patching & routing),1,L7,Instrumentation,Designer
7,Modelling,"Misc. Design (fieldbus, wireless, etc.)",NA,L7,Instrumentation,Designer
7,Modelling,Material Takeoffs,1,L7,Instrumentation,Designer
7,Modelling,SP3D-Modeling,2,L7,Instrumentation,Designer
7,Modelling,SP3D-Smartsketch,2,L7,Instrumentation,Designer
7,Modelling,SP3D-Cable Autorouting,1,L7,Instrumentation,Designer
7,Modelling,SP3D-Tray Modeling,1,L7,Instrumentation,Designer
7,Modelling,SP3D-Conduit Modeling,1,L7,Instrumentation,Designer
7,Modelling,SP3D-Admin,NA,L7,Instrumentation,Designer
7,Modelling,AutoCAD,1,L7,Instrumentation,Designer
7,Modelling,Infomaker,2,L7,Instrumentation,Designer
7,Modelling,Microsoft Visio,2,L7,Instrumentation,Designer
7,Modelling,Micorstation Connect Edition,2,L7,Instrumentation,Designer
7,Modelling,AutoCAD Plant 3D,2,L7,Instrumentation,Designer
7,Modelling,Navisworks,2,L7,Instrumentation,Designer
7,Modelling,DWG Trueview 2022,2,L7,Instrumentation,Designer
7,Modelling,REVIT,2,L7,Instrumentation,Designer
7,Modelling,AVEVA E3D,2,L7,Instrumentation,Designer
7,Modelling,Iconstruct,2,L7,Instrumentation,Designer
7,Wiring / Loops,Junction Box Wiring,2,L7,Instrumentation,Designer
7,Wiring / Loops,Panel Wiring,2,L7,Instrumentation,Designer
7,Wiring / Loops,Marshalling Wiring,2,L7,Instrumentation,Designer
7,Wiring / Loops,I/O Module Wiring,2,L7,Instrumentation,Designer
7,Wiring / Loops,Loop Drawings,2,L7,Instrumentation,Designer
7,Wiring / Loops,Loop Folders,2,L7,Instrumentation,Designer
7,General,P&ID Markup and Backchecking,1,L7,Instrumentation,Designer
7,General,Motor Schematics Markup and Backchecking,NA,L7,Instrumentation,Designer
7,General,Mechanical Skid Drawings Markup and Backchecking,NA,L7,Instrumentation,Designer
7,General,Isometric Markup and Backchecking,NA,L7,Instrumentation,Designer
7,General,Wetting Voltage Distribution Wiring,NA,L7,Instrumentation,Designer
7,General,Budgeting / Schedule Tracking,NA,L7,Instrumentation,Designer
7,General,Labor Estimating,NA,L7,Instrumentation,Designer
7,General,PROPOSAL & COST ESTIMATION,NA,L7,Instrumentation,Designer
7,General,AS-BUILT & MAINTENANCE,NA,L7,Instrumentation,Designer
7,General,Electrical Document Reviews,NA,L7,Instrumentation,Designer
7,General,Mechanical Document Reviews,NA,L7,Instrumentation,Designer
7,General,Mechanical Subcontract Scope of Work,NA,L7,Instrumentation,Designer
7,General,E/I/C Subcontract Scope of Work,NA,L7,Instrumentation,Designer
7,General,Quality Check - Q4,NA,L7,Instrumentation,Designer
7,General,SPI-EDE_Query builder,NA,L7,Instrumentation,Designer
7,General,INSPECTION - FIELD INSTRUMENTS,NA,L7,Instrumentation,Designer
8,Lists,Instrument Index,2,L8,Instrumentation,Designer
8,Lists,IO List/ Loading,2,L8,Instrumentation,Designer
8,Lists,Cable schedule,2,L8,Instrumentation,Designer
8,Lists,Tubing Schedule,2,L8,Instrumentation,Designer
8,Miscellaneous,Project Definition / I&C Design Basis,1,L8,Instrumentation,Designer
8,Control & Automation,DCS Assembly Drawings,1,L8,Instrumentation,Designer
8,Control & Automation,PLC Assembly Drawings,1,L8,Instrumentation,Designer
8,Control & Automation,SIS/ BMS Assembly Drawings,1,L8,Instrumentation,Designer
8,Control & Automation,Machinery Protection Assembly Drawings,NA,L8,Instrumentation,Designer
8,Control & Automation,Marshalling Panel Assembly Drawings,1,L8,Instrumentation,Designer
8,Control & Automation,Junction Box Assembly Drawings,1,L8,Instrumentation,Designer
8,Control & Automation,Control Panel Assembly Drawings,1,L8,Instrumentation,Designer
8,Control & Automation,Annunciator Assembly Drawings,1,L8,Instrumentation,Designer
8,Modelling,Installation Details,1,L8,Instrumentation,Designer
8,Modelling,Instrument Location Key Plan,2,L8,Instrumentation,Designer
8,Modelling,Instrument Location Plans,2,L8,Instrumentation,Designer
8,Modelling,Instrument Cable Tray routing study and Backcheck,2,L8,Instrumentation,Designer
8,Modelling,"Building Floor Plans (RIE, control room, etc.)",2,L8,Instrumentation,Designer
8,Modelling,"3D Model Work (JBs, instruments, valves, etc.) ",2,L8,Instrumentation,Designer
8,Modelling,Model Reviews,2,L8,Instrumentation,Designer
8,Modelling,Control System Architecture Drawings,2,L8,Instrumentation,Designer
8,Modelling,Fiber Optic Drawings (patching & routing),1,L8,Instrumentation,Designer
8,Modelling,"Misc. Design (fieldbus, wireless, etc.)",1,L8,Instrumentation,Designer
8,Modelling,Material Takeoffs,1,L8,Instrumentation,Designer
8,Modelling,SP3D-Modeling,2,L8,Instrumentation,Designer
8,Modelling,SP3D-Smartsketch,2,L8,Instrumentation,Designer
8,Modelling,SP3D-Cable Autorouting,2,L8,Instrumentation,Designer
8,Modelling,SP3D-Tray Modeling,2,L8,Instrumentation,Designer
8,Modelling,SP3D-Conduit Modeling,2,L8,Instrumentation,Designer
8,Modelling,SP3D-Admin,NA,L8,Instrumentation,Designer
8,Modelling,AutoCAD,2,L8,Instrumentation,Designer
8,Modelling,Infomaker,2,L8,Instrumentation,Designer
8,Modelling,Microsoft Visio,2,L8,Instrumentation,Designer
8,Modelling,Micorstation Connect Edition,2,L8,Instrumentation,Designer
