Level,Skill,Subskill,Value,LevelKey,Discipline,Role
7,Static Equipment,Pressure Vessels,1,L7,Mechanical,Engineer
7,Static Equipment,Shell & Tube Heat Exchanger ,1,L7,Mechanical,Engineer
7,Static Equipment,Air Cooled Heat Exchanger,1,L7,Mechanical,Engineer
7,Static Equipment,Plate & Frame Heat Exchanger,1,L7,Mechanical,Engineer
7,Static Equipment,Columns,1,L7,Mechanical,Engineer
7,Static Equipment,Storage Tanks ,1,L7,Mechanical,Engineer
7,Static Equipment,Silos,1,L7,Mechanical,Engineer
7,Static Equipment,Column Internals,1,L7,Mechanical,Engineer
7,Static Equipment,FRP Vessels,1,L7,Mechanical,Engineer
7,Rotary & Packaged Equipment,Pump,1,L7,Mechanical,Engineer
7,,Compressor,1,L7,Mechanical,Engineer
7,Rotary & Packaged Equipment,Agitator,1,L7,Mechanical,Engineer
7,Rotary & Packaged Equipment,Cooling tower,1,L7,Mechanical,Engineer
7,Rotary & Packaged Equipment,WWT Plant,1,L7,Mechanical,Engineer
7,Rotary & Packaged Equipment,Raw / DM Water Treatment Plant,1,L7,Mechanical,Engineer
7,Rotary & Packaged Equipment,IA / N2 Unit,1,L7,Mechanical,Engineer
7,Rotary & Packaged Equipment,Boiler,1,L7,Mechanical,Engineer
7,Rotary & Packaged Equipment,Chiiler / Refrigeration,1,L7,Mechanical,Engineer
7,Rotary & Packaged Equipment,Matl Handling Eqpt ,1,L7,Mechanical,Engineer
7,Software Skills,Compress,1,L7,Mechanical,Engineer
7,Software Skills,PV Elite,1,L7,Mechanical,Engineer
7,Software Skills,HTRI,1,L7,Mechanical,Engineer
8,Static Equipment,Pressure Vessels,1,L8,Mechanical,Engineer
8,Static Equipment,Shell & Tube Heat Exchanger ,1,L8,Mechanical,Engineer
8,Static Equipment,Air Cooled Heat Exchanger,1,L8,Mechanical,Engineer
8,Static Equipment,Plate & Frame Heat Exchanger,1,L8,Mechanical,Engineer
8,Static Equipment,Columns,1,L8,Mechanical,Engineer
8,Static Equipment,Storage Tanks ,1,L8,Mechanical,Engineer
8,Static Equipment,Silos,1,L8,Mechanical,Engineer
8,Static Equipment,Column Internals,1,L8,Mechanical,Engineer
8,Static Equipment,FRP Vessels,1,L8,Mechanical,Engineer
8,Rotary & Packaged Equipment,Pump,1,L8,Mechanical,Engineer
8,,Compressor,2,L8,Mechanical,Engineer
8,Rotary & Packaged Equipment,Agitator,1,L8,Mechanical,Engineer
8,Rotary & Packaged Equipment,Cooling tower,1,L8,Mechanical,Engineer
8,Rotary & Packaged Equipment,WWT Plant,2,L8,Mechanical,Engineer
8,Rotary & Packaged Equipment,Raw / DM Water Treatment Plant,2,L8,Mechanical,Engineer
8,Rotary & Packaged Equipment,IA / N2 Unit,2,L8,Mechanical,Engineer
8,Rotary & Packaged Equipment,Boiler,2,L8,Mechanical,Engineer
8,Rotary & Packaged Equipment,Chiiler / Refrigeration,2,L8,Mechanical,Engineer
8,Rotary & Packaged Equipment,Matl Handling Eqpt ,2,L8,Mechanical,Engineer
8,Software Skills,Compress,1,L8,Mechanical,Engineer
8,Software Skills,PV Elite,1,L8,Mechanical,Engineer
8,Software Skills,HTRI,1,L8,Mechanical,Engineer
9,Static Equipment,Pressure Vessels,2,L9,Mechanical,Engineer
9,Static Equipment,Shell & Tube Heat Exchanger ,2,L9,Mechanical,Engineer
9,Static Equipment,Air Cooled Heat Exchanger,2,L9,Mechanical,Engineer
9,Static Equipment,Plate & Frame Heat Exchanger,2,L9,Mechanical,Engineer
9,Static Equipment,Columns,2,L9,Mechanical,Engineer
9,Static Equipment,Storage Tanks ,2,L9,Mechanical,Engineer
9,Static Equipment,Silos,2,L9,Mechanical,Engineer
9,Static Equipment,Column Internals,2,L9,Mechanical,Engineer
9,Static Equipment,FRP Vessels,2,L9,Mechanical,Engineer
9,Rotary & Packaged Equipment,Pump,1,L9,Mechanical,Engineer
9,,Compressor,2,L9,Mechanical,Engineer
9,Rotary & Packaged Equipment,Agitator,2,L9,Mechanical,Engineer
9,Rotary & Packaged Equipment,Cooling tower,2,L9,Mechanical,Engineer
9,Rotary & Packaged Equipment,WWT Plant,2,L9,Mechanical,Engineer
9,Rotary & Packaged Equipment,Raw / DM Water Treatment Plant,2,L9,Mechanical,Engineer
9,Rotary & Packaged Equipment,IA / N2 Unit,2,L9,Mechanical,Engineer
9,Rotary & Packaged Equipment,Boiler,2,L9,Mechanical,Engineer
9,Rotary & Packaged Equipment,Chiiler / Refrigeration,2,L9,Mechanical,Engineer
9,Rotary & Packaged Equipment,Matl Handling Eqpt ,2,L9,Mechanical,Engineer
9,Software Skills,Compress,2,L9,Mechanical,Engineer
9,Software Skills,PV Elite,2,L9,Mechanical,Engineer
9,Software Skills,HTRI,2,L9,Mechanical,Engineer
