Level,Skill,Subskill,Value,LevelKey,Discipline,Role
5,Arrangements,Boiler Unit,NA,L5,Piping Design,Designer
5,Arrangements,Flare Unit,NA,L5,Piping Design,Designer
5,Arrangements,Hygnic Piping,NA,L5,Piping Design,Designer
5,Arrangements,ISBL / OSBL Units,2,L5,Piping Design,Designer
5,Arrangements,ISBL Process Units,2,L5,Piping Design,Designer
5,Arrangements,Overall Plot Plan,2,L5,Piping Design,Designer
5,Arrangements,Pipe Rack,2,L5,Piping Design,Designer
5,Arrangements,Plan Building,2,L5,Piping Design,Designer
5,Arrangements,Tank Farm,2,L5,Piping Design,Designer
5,Arrangements,Technological Structure,2,L5,Piping Design,Designer
5,Arrangements,Unit Plot Plan,2,L5,Piping Design,Designer
5,Arrangements,Loading Arms & Racks,2,L5,Piping Design,Designer
5,Arrangements,Packaged Systems (Skid),2,L5,Piping Design,Designer
5,Arrangements,Utilities,2,L5,Piping Design,Designer
5,Fixed Equipment,Air Coolers,1,L5,Piping Design,Designer
5,Fixed Equipment,Compact Block & Plate Exchanger,1,L5,Piping Design,Designer
5,Fixed Equipment,Cooling Towers,1,L5,Piping Design,Designer
5,Fixed Equipment,Desuperheaters,1,L5,Piping Design,Designer
5,Fixed Equipment,Vessel ,1,L5,Piping Design,Designer
5,Fixed Equipment,Flares,1,L5,Piping Design,Designer
5,Fixed Equipment,Heaters & Furnaces,NA,L5,Piping Design,Designer
5,Fixed Equipment,Reactors,1,L5,Piping Design,Designer
5,Fixed Equipment,S & T Exchagers,1,L5,Piping Design,Designer
5,Fixed Equipment,Spherical Storage Tanks,1,L5,Piping Design,Designer
5,Fixed Equipment,Steam Ejectors & Condensers,1,L5,Piping Design,Designer
5,Fixed Equipment,Thermal Oxidizers,1,L5,Piping Design,Designer
5,Fixed Equipment,Towers / Columns,NA,L5,Piping Design,Designer
5,Fixed Equipment,Storage Tanks,1,L5,Piping Design,Designer
5,Fixed Equipment,Storage Bullets,1,L5,Piping Design,Designer
5,Piping,Lined Pipe,NA,L5,Piping Design,Designer
5,Piping,Metalic Piping,1,L5,Piping Design,Designer
5,Piping,Non-Metalic Piping,1,L5,Piping Design,Designer
5,Piping,Alloy Steel,1,L5,Piping Design,Designer
5,Rotary Equipments,Air Compressors,NA,L5,Piping Design,Designer
5,Rotary Equipments,ANSI Pumps,2,L5,Piping Design,Designer
5,Rotary Equipments,API Centrifugal Pumps,2,L5,Piping Design,Designer
5,Rotary Equipments,Centrifugal Compressors,1,L5,Piping Design,Designer
5,Rotary Equipments,FD and ID Fans / Blowers,1,L5,Piping Design,Designer
5,Rotary Equipments,Positive Displacement Pumps,2,L5,Piping Design,Designer
5,Rotary Equipments,Reciprocating Compressors,NA,L5,Piping Design,Designer
5,Rotary Equipments,Steam Turbines,NA,L5,Piping Design,Designer
5,Softwares,AutoCad,4,L5,Piping Design,Designer
5,Softwares,Cadworx,1,L5,Piping Design,Designer
5,Softwares,E3D,1,L5,Piping Design,Designer
5,Softwares,LFM,NA,L5,Piping Design,Designer
5,Softwares,Microstation,2,L5,Piping Design,Designer
5,Softwares,PDMS,NA,L5,Piping Design,Designer
5,Softwares,PDS-Plant Design System,NA,L5,Piping Design,Designer
5,Softwares,Plant 3D,1,L5,Piping Design,Designer
5,Softwares,S3D,1,L5,Piping Design,Designer
5,Softwares,SPR- Smart Plant Review,1,L5,Piping Design,Designer
5,Softwares,Plant Stream,1,L5,Piping Design,Designer
5,Softwares,I-Construct,NA,L5,Piping Design,Designer
6,Arrangements,Boiler Unit,1,L6,Piping Design,Designer
6,Arrangements,Flare Unit,1,L6,Piping Design,Designer
6,Arrangements,Hygnic Piping,1,L6,Piping Design,Designer
6,Arrangements,ISBL / OSBL Units,2,L6,Piping Design,Designer
6,Arrangements,ISBL Process Units,2,L6,Piping Design,Designer
6,Arrangements,Overall Plot Plan,2,L6,Piping Design,Designer
6,Arrangements,Pipe Rack,2,L6,Piping Design,Designer
6,Arrangements,Plan Building,2,L6,Piping Design,Designer
6,Arrangements,Tank Farm,2,L6,Piping Design,Designer
6,Arrangements,Technological Structure,2,L6,Piping Design,Designer
