Level,Skill,Subskill,Value,LevelKey,Discipline,Role
7,Analysis,FRP Piping,NA,L7,Piping Engineering,Engineer
7,Analysis,GRE Piping ,NA,L7,Piping Engineering,Engineer
7,Analysis,Jacketed Piping Analysis,NA,L7,Piping Engineering,Engineer
7,Analysis,Slug Analysis,NA,L7,Piping Engineering,Engineer
7,Analysis,Surge Analysis,NA,L7,Piping Engineering,Engineer
7,Analysis,Under ground piping analysis,NA,L7,Piping Engineering,Engineer
7,Analysis,AIV/FIV & Vibration Analysis,NA,L7,Piping Engineering,Engineer
7,Fixed Equipments,Air Coolers,NA,L7,Piping Engineering,Engineer
7,Fixed Equipments,Boilers,NA,L7,Piping Engineering,Engineer
7,Fixed Equipments,Desuperheaters,NA,L7,Piping Engineering,Engineer
7,Fixed Equipments,Drums,1,L7,Piping Engineering,Engineer
7,Fixed Equipments,Flares,NA,L7,Piping Engineering,Engineer
7,Fixed Equipments,Reactors,NA,L7,Piping Engineering,Engineer
7,Fixed Equipments,S & T Exchangers,1,L7,Piping Engineering,Engineer
7,Fixed Equipments,Spherical Storage Tanks,NA,L7,Piping Engineering,Engineer
7,Fixed Equipments,Towers / Columns,1,L7,Piping Engineering,Engineer
7,Materials,Carbon Steel,NA,L7,Piping Engineering,Engineer
7,Materials,Stainless Steel,NA,L7,Piping Engineering,Engineer
7,Materials,Alloy Steel,NA,L7,Piping Engineering,Engineer
7,Materials,Non-Metallic - Thermoplastics,NA,L7,Piping Engineering,Engineer
7,Materials,Non-Metallic - Thermosetting,NA,L7,Piping Engineering,Engineer
7,Piping Materials,Line List,NA,L7,Piping Engineering,Engineer
7,Piping Materials,Manual Valve List,NA,L7,Piping Engineering,Engineer
7,Piping Materials,Piping Specialty Item List,NA,L7,Piping Engineering,Engineer
7,Piping Materials,Protective Coatings Specifications,NA,L7,Piping Engineering,Engineer
7,Piping Materials,Insulation Specification,NA,L7,Piping Engineering,Engineer
7,Piping Materials,Steam Tracing Specification,NA,L7,Piping Engineering,Engineer
7,Piping Materials,Pipe Spec Service Index,NA,L7,Piping Engineering,Engineer
7,Piping Materials,Piping Specials Data Sheets,NA,L7,Piping Engineering,Engineer
7,Piping Materials,Specialty Item Specification,NA,L7,Piping Engineering,Engineer
7,Piping Materials,Shop Fab Pipe Specification,NA,L7,Piping Engineering,Engineer
7,Piping Materials,Valve Material Specification,NA,L7,Piping Engineering,Engineer
7,Piping Materials,Fabrication & Welding Specification (PWDS),NA,L7,Piping Engineering,Engineer
7,Piping Materials,Engineered Supports Package,NA,L7,Piping Engineering,Engineer
7,Piping Materials,Piping Eng. Technical Reviews,NA,L7,Piping Engineering,Engineer
7,Piping Materials,Pipe Wall thk / Branch Reinforcement calculation,NA,L7,Piping Engineering,Engineer
