Level,Skill,Subskill,Value,LevelKey,Discipline,Role
7,Deliverables , PFD / HMB / Process Description,NA,L7,Process,Engineer
7,Deliverables , Process Design Basis,NA,L7,Process,Engineer
7,Deliverables , Hazardous Source List,NA,L7,Process,Engineer
7,Deliverables , Cause &  Effect / Control Narrative,NA,L7,Process,Engineer
7,Deliverables , Equipment List,NA,L7,Process,Engineer
7,Deliverables , Utility Summary,NA,L7,Process,Engineer
7,Deliverables , Emission Summary,NA,L7,Process,Engineer
7,Deliverables , Line list / DPDT,NA,L7,Process,Engineer
7,Deliverables , Slug Flow Analysis,NA,L7,Process,Engineer
7,Deliverables , P&ID Preparation,NA,L7,Process,Engineer
7,Deliverables , Hydraulics Pumps,NA,L7,Process,Engineer
7,Deliverables , Vessel Sizing,NA,L7,Process,Engineer
7,Deliverables , Line sizing,NA,L7,Process,Engineer
7,Deliverables , PDS Inst. - IPDS,NA,L7,Process,Engineer
7,Deliverables , Proces Datasheets,NA,L7,Process,Engineer
7,Deliverables , PSV Calculation,NA,L7,Process,Engineer
7,Deliverables , Op. Manual,NA,L7,Process,Engineer
7,Deliverables , Thermal datasheet Heat Exchanger ,NA,L7,Process,Engineer
7,Activities , Vendor document review,NA,L7,Process,Engineer
7,Activities , Model review,NA,L7,Process,Engineer
7,Activities , Hazop Particpation,NA,L7,Process,Engineer
7,Column3,,NA,L7,Process,Engineer
7,Software Skills , simulation - Petrosim,NA,L7,Process,Engineer
7,Column4,,NA,L7,Process,Engineer
7,Software Skills , Simulation - Pro-II,NA,L7,Process,Engineer
7,Software Skills , Simulation - Promax,NA,L7,Process,Engineer
7,Software Skills , Navisworks,1,L7,Process,Engineer
7,Software Skills , Flarenet,NA,L7,Process,Engineer
7,Software Skills , Autocad,NA,L7,Process,Engineer
7,Software Skills , Autocad5,NA,L7,Process,Engineer
7,Software Skills , Drafting Microstation,NA,L7,Process,Engineer
7,Software Skills , PDS-2D,NA,L7,Process,Engineer
7,Software Skills , PDS-2D6,NA,L7,Process,Engineer
7,Software Skills , SMARTPLANT,NA,L7,Process,Engineer
7,Software Skills , SMARTPLANT7,NA,L7,Process,Engineer
7,Software Skills , Aveva Drafting ,NA,L7,Process,Engineer
7,Software Skills , Aveva Database,NA,L7,Process,Engineer
8,Deliverables , PFD / HMB / Process Description,1,L8,Process,Engineer
8,Deliverables , Process Design Basis,1,L8,Process,Engineer
8,Deliverables , Hazardous Source List,1,L8,Process,Engineer
8,Deliverables , Cause &  Effect / Control Narrative,1,L8,Process,Engineer
8,Deliverables , Equipment List,1,L8,Process,Engineer
8,Deliverables , Utility Summary,1,L8,Process,Engineer
8,Deliverables , Emission Summary,1,L8,Process,Engineer
8,Deliverables , Line list / DPDT,1,L8,Process,Engineer
8,Deliverables , Slug Flow Analysis,1,L8,Process,Engineer
8,Deliverables , P&ID Preparation,1,L8,Process,Engineer
8,Deliverables , Hydraulics Pumps,1,L8,Process,Engineer
8,Deliverables , Vessel Sizing,1,L8,Process,Engineer
8,Deliverables , Line sizing,1,L8,Process,Engineer
8,Deliverables , PDS Inst. - IPDS,1,L8,Process,Engineer
8,Deliverables , Proces Datasheets,1,L8,Process,Engineer
8,Deliverables , PSV Calculation,1,L8,Process,Engineer
8,Deliverables , Op. Manual,1,L8,Process,Engineer
8,Deliverables , Thermal datasheet Heat Exchanger ,1,L8,Process,Engineer
8,Activities , Vendor document review,1,L8,Process,Engineer
8,Activities , Model review,1,L8,Process,Engineer
8,Activities , Hazop Particpation,1,L8,Process,Engineer
8,Column3,,1,L8,Process,Engineer
8,Software Skills , simulation - Petrosim,1,L8,Process,Engineer
8,Column4,,1,L8,Process,Engineer
8,Software Skills , Simulation - Pro-II,1,L8,Process,Engineer
8,Software Skills , Simulation - Promax,1,L8,Process,Engineer
8,Software Skills , Navisworks,1,L8,Process,Engineer
8,Software Skills , Flarenet,1,L8,Process,Engineer
8,Software Skills , Autocad,NA,L8,Process,Engineer
8,Software Skills , Autocad5,NA,L8,Process,Engineer
8,Software Skills , Drafting Microstation,NA,L8,Process,Engineer
8,Software Skills , PDS-2D,NA,L8,Process,Engineer
8,Software Skills , PDS-2D6,NA,L8,Process,Engineer
8,Software Skills , SMARTPLANT,NA,L8,Process,Engineer
8,Software Skills , SMARTPLANT7,1,L8,Process,Engineer
8,Software Skills , Aveva Drafting ,NA,L8,Process,Engineer
8,Software Skills , Aveva Database,NA,L8,Process,Engineer
9,Deliverables , PFD / HMB / Process Description,1,L9,Process,Engineer
9,Deliverables , Process Design Basis,1,L9,Process,Engineer
9,Deliverables , Hazardous Source List,1,L9,Process,Engineer
9,Deliverables , Cause &  Effect / Control Narrative,1,L9,Process,Engineer
9,Deliverables , Equipment List,1,L9,Process,Engineer
9,Deliverables , Utility Summary,1,L9,Process,Engineer
9,Deliverables , Emission Summary,1,L9,Process,Engineer
9,Deliverables , Line list / DPDT,1,L9,Process,Engineer
9,Deliverables , Slug Flow Analysis,1,L9,Process,Engineer
9,Deliverables , P&ID Preparation,1,L9,Process,Engineer
9,Deliverables , Hydraulics Pumps,1,L9,Process,Engineer
